,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
862,The Assembly,2025-06-09,Writer,2500 words reporting,2500 words reporting,writing and reporting,2500,article,2500,,0,,67,37.31,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,1st Rights,Yes,,"Yes, but the job wasn't killed",750,,Job did not expand,Required expenses &amp; I was reimbursed,Add to invoice,,Publicly Available,Publicly Available,Unsure,,Religion,United States,,North Carolina,United States,He/His,White,5-10 years,34,Loved it,"Cis, Male",2025-06-09,The Assembly,news
863,The Assembly,2025-01-28,Writer,"2,500 words reporting",2500 words reporting,writing and reporting,2500,article,2500,,0,,68,36.76,New Job - Still Waiting,,Pre-existing relationship,"worldwide license to reproduce, duplicate, display, distribute or transmit the work in all media, known or hereafter known",Yes,,"Yes, but the job wasn't killed",750,,Job did not expand,Required expenses &amp; I was reimbursed,Submit mileage with invoice,,Publicly Available,Publicly Available,No,,,United States,No,North Carolina,United States,He/His,White,5-10 years,33,Loved it,Male,2025-01-28,The Assembly,news
864,The Assembly,2025-02-24,Writer,Day rate reporting,day rate reporting,writing and reporting,,other,428.4,per day,350,$350 per day,8,53.55,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,,No,Yes,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Included mileage as part of invoice.,,,,,,Local News,United States,No,North Carolina,United States,He/His,White,5-10 years,33,Loved it,Male,2025-02-24,The Assembly,news
865,The Assembly,2024-12-01,Writer,Roughly 2000 words reported story,roughly 2000 words reported story,writing and reporting,2000,article,2000,,0,,46,43.48,,,Pre-existing relationship,,Yes,No,"Yes, but the job wasn't killed",,,Job did not expand,Did not require expenses,,,,,,,Local News,United States,No,North Carolina,,He/His,White,5-10 years,33,Loved it,Male,2024-12-01,The Assembly,news
866,The Atavist,2019-08-31,Writer,10k word reported feature/essay,10k word reported feature/essay,writing and reporting,10000,feature,6000,flat,6000,$6000 flat fee for the piece plus significant expenses paid in advance ($1700),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-31,The Atavist Magazine,news
867,The Atlantic,2024-11-08,Writer,Book recommendation list,book recommendation list,writing and reporting,,article,750,flat,750,$750 flat rate (the very highest they pay),20,37.5,6 weeks,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",,Yes,No,,,,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,,US,No,California,US,She/Her,"Jewish, White",10-15 years,34,"Loved it, Would recommend to others",Female,2024-11-08,The Atlantic,news
868,The Atlantic,2025-04-15,Writer,"1200 word book essay assigned, turned out to be 2,200 in the end",1200 word book essay assigned turned out to be 2200 in the end,writing and reporting,2200,essay,750,flat,750,750.00 flat fee,20,37.5,30 days,Check by mail,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,No,No,No,,Non Fiction General/Genre,ISA,No,New York,USA,She/Her,White,10-15 years,,Loved it,Female,2025-04-15,The Atlantic,news
869,The Atlantic,2024-12-01,Writer,"Book list of 5 books, 1500 words or so?",book list of 5 books 1500 words or so?,writing and reporting,1500,article,750,,0,,12,62.5,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-12-01,The Atlantic,news
870,The Atlantic,2024-05-01,Writer,"Book criticism, 1500 words",book criticism 1500 words,writing and reporting,1500,review,750,,0,,20,37.5,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-05-01,The Atlantic,news
871,The Atlantic,2024-11-25,Writer,1500 word book review,1500 word book review,writing and reporting,1500,review,750,,0,,22,34.09,30 days,Direct Deposit,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-11-25,The Atlantic,news
872,The Atlantic,2024-05-01,Writer,Book review - print,book review  print,writing and reporting,,review,2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-01,The Atlantic,news
873,The Atlantic,2024-05-01,Writer,Book review - web,book review  web,writing and reporting,,review,1000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-01,The Atlantic,news
874,The Atlantic,2023-12-01,Writer,1000 words on Gaza,1000 words on gaza,writing and reporting,1000,article,400,per article,400,400 per piece,20,20,30 days,Direct Deposit,"Cold pitch - I reached out to them, Spec work - job was done prior to communication",Unsure,Unsure,No,"No, but the job wasn't killed",,Did not require overtime,,,,,,,,,International News,Canada,No,,US,She/Her,White,0-5 years,,Whatevs,,2023-12-01,The Atlantic,news
875,The Atlantic,2023-04-01,,Single book review/essay,single book review/essay,writing and reporting,,review,1000,,0,,20,50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-04-01,The Atlantic,news
876,The Atlantic,2023-07-07,,List,list,writing and reporting,,other,500,,0,,10,50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-07-07,The Atlantic,news
877,The Atlantic,2023-07-03,,Single-book review,single book review,writing and reporting,,review,1000,,0,,12,83.33,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-07-03,The Atlantic,news
878,The Atlantic,2023-01-18,Writer,double book review,double book review,writing and reporting,,review,750,,0,,,,6 weeks,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"No, but the job wasn't killed",,,Job did not expand,,,,Publicly Available,No,,,Entertainment,,Yes,,,,,,,,,2023-01-18,The Atlantic,news
879,The Atlantic,2023-02-02,fact-checker,4000 word feature,4000 word feature,writing and reporting,4000,feature,2300,,0,,,,30 days,Direct Deposit,They reached out to me with an assignment,none,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Unsure,No,Unsure,,"Entertainment, Science",United States,No,Montana,United States,She/Her,White,20-25 years,45,Loved it,"Cis, Female",2023-02-02,The Atlantic,news
880,The Atlantic,2022-12-01,Writer,1000 words culture piece with light reporting,1000 words culture piece with light reporting,writing and reporting,1000,article,600,,0,,,,New Job - Still Waiting,Haven't been paid yet,They reached out to me with an assignment,Shared Copyright,Yes,No,"Yes, but the job wasn't killed",150,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Did not receive hazard pay, Hazard pay was not required",Unsure,Unsure,Unsure,,Sex &amp; Relationships,USA,Yes,New York,USA,She/Her,"South Asian, White",10-15 years,36,Whatevs,Cis,2022-12-01,The Atlantic,news
881,The Atlantic,2022-01-21,Writer,1800-word book list,1800 word book list,writing and reporting,1800,article,500,,0,,,,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,,,,,Job expanded &amp; I wasn't compensated,,,,,,,,,,,,,,,,,,,2022-01-21,The Atlantic,news
882,The Atlantic,2022-04-06,Writer,1500 word book review,1500 word book review,writing and reporting,1500,review,750,,0,,,,30 days,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",Work For Hire,Yes,,,,,,,,,No,No,,,,,,,,,,,,,,2022-04-06,The Atlantic,news
883,The Atlantic,2022-04-15,"Writer, Academic",1300-word article,1300 word article,writing and reporting,1300,article,500,,0,500,,,6 weeks,Direct Deposit,Pre-existing relationship,Unsure,Unsure,No,Unsure,,Did not require overtime,,,,,,No,,,,,,,,He/His,White,25 &amp; up,,I love to write for this magazine-- but it's frustrating that its pay has gone DOWN as its owner's fortune has risen.,Male,2022-04-15,The Atlantic,news
884,The Atlantic (online),2024-11-20,Writer,1500 book essay,1500 book essay,writing and reporting,1500,essay,700,,0,,12,58.33,New Job - Still Waiting,Haven't been paid yet,Cold pitch - I reached out to them,Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Non Fiction General/Genre,USA,No,New York,USA,She/Her,White,10-15 years,,Loved it,Prefer not to say,2024-11-20,The Atlantic,news
885,The Atlantic (online),2022-07-22,Writer,Book Review,book review,writing and reporting,,review,1000,per word,0.75,0.75 per word,,,30 days,Direct Deposit,They reached out to me with an assignment,Unsure,Yes,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,,Unsure,No,No,,Books,United States,Yes,NY,US,She/Her,Black,0-5 years,,Would recommend to others,"Cis, Female",2022-07-22,The Atlantic,news
886,The Atlantic magazine,2023-02-15,,Listicle/essay,listicle/essay,writing and reporting,,essay,750,,0,750,25,30,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-02-15,The Atlantic,news
887,The Baffler,2025-02-21,Writer,Author Q&amp;A,author q&amp;a,writing and reporting,,article,500,,0,,16,31.25,2 weeks or less,Direct Deposit,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2025-02-21,The Baffler,news
888,The Baffler,2023-01-15,Writer,1800-word book review,1800 word book review,writing and reporting,1800,review,500,,0,,20,25,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,,"Yes, but the job wasn't killed",,,,,,,,,,,,US,Yes,PA,US,She/Her,White,5-10 years,,,"Cis, Female",2023-01-15,The Baffler,news
889,The Baffler,2022-11-30,Writer,2000-word book essay,2000 word book essay,writing and reporting,2000,essay,400,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",,,,,,,,No,,,,,Yes,,,,,,,"Loved it, Would recommend to others",,2022-11-30,The Baffler,news
890,The Baffler,2022-01-06,Writer,1700-word book review,1700 word book review,writing and reporting,1700,review,300,,0,,,,30 days,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",1st Rights,Yes,,"Yes, but the job wasn't killed",,,,,,,,,,,,,,,,,,,,,,2022-01-06,The Baffler,news
891,The Baffler,2022-02-01,Writer,"Feature print story, 4000 words",feature print story 4000 words,writing and reporting,4000,feature,1000,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Unsure,Unsure,Yes,5000,"International News, Politics",US,No,California,US,She/Her,White,0-5 years,,Loved it,Cis,2022-02-01,The Baffler,news
892,The Baffler,2020-12-28,Illustrator,Web Article Header,web article header,writing and reporting,,article,350,,0,,,,30 days,Check by mail,Cold pitch - I reached out to them,Unsure,Yes,No,Unsure,,,,,,,,,,,Fiction General/Genre,United States,No,NY,United States,He/His,"Jewish, White",0-5 years,33,"Loved it, Would recommend to others",Cis,2020-12-28,The Baffler,news
893,The Baffler,2020-01-20,Writer,2400 word essay,2400 word essay,writing and reporting,2400,essay,300,,0,,,,30 days,Check by mail,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,,United States,No,New York,New York,He/His,White,0-5 years,38,Loved it,Cis,2020-01-20,The Baffler,news
894,The Believer,2023-06-01,Writer,700-word book review,700 word book review,writing and reporting,700,review,300,,0,,15,20,2 weeks or less,Check by mail,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-06-01,The Believer,news
895,The Bitter Southerner,2021-02-05,Writer,850 word essay,850 word essay,writing and reporting,850,essay,250,,0,,,,Never paid,bill.com,They asked me to pitch,1st Rights,Yes,,"Yes, &amp; the job was killed",100,,,,,,,,,,,,,,,,,,,Would not recommend to others,,2021-02-05,The Bitter Southerner,news
896,The Black Wall Street Times,2024-04-01,"Photographer, Video Production, Writer",I do daily reporting on stories that range from 500-1200 words.,i do daily reporting on stories that range from 500 1200 words.,writing and reporting,850,article,62.5,per article,62.5,We get paid $62.50 per story. Doesn't matter how much time we've spent on it.,20,3.12,30 days,Cash app,Pre-existing relationship,1st Rights,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Unsure,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,No,No,No,,"National News, Local News, Politics, Editorial &amp; Opinion, Entertainment, History, Branded/Sponsored Content",USA,Yes,Oklahoma,USA,They/Their,Black,0-5 years,31,Loved it,Genderqueer,2024-04-01,The Black Wall Street Times,news
897,"The bookohololics, an Indian company on Instagram ",2022-06-22,,Book review on Amazon and Instagram,book review on amazon and instagram,writing and reporting,,review,1,,0,No rate was agreed. People really exploit Indian book bloggers,2,0.5,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2022-06-22,The Bookoholics,news
898,The Boston Globe,2021-04-21,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,1200,,0,,,,New Job - Still Waiting,Haven't been paid yet,"Pre-existing relationship, They asked me to pitch, They reached out to me with an assignment",Work For Hire,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Editorial &amp; Opinion,United States,Yes,MA,United States,He/His,White,5-10 years,32,Loved it,"Cis, Male",2021-04-21,The Boston Globe,news
899,The Brooklyn Rail,2023-07-01,,Single-book review,single book review,writing and reporting,,review,150,,0,,10,15,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-07-01,The Brooklyn Rail,news
900,The Brooklyn Rail,2023-09-01,,1000 word book review,1000 word book review,writing and reporting,1000,review,150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-01,The Brooklyn Rail,news
901,The Chicago Reader,2024-08-23,Writer,"1,000 word feature",1000 word feature,writing and reporting,1000,feature,200,,0,,8,25,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,Yes,"Yes, but the job wasn't killed",,No specified overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Unsure,No,No,,Entertainment,United States,No,Illinois,United States,she/they,White,0-5 years,26,Would recommend to others,Gender expansive,2024-08-23,Chicago Reader,news
902,The Chicago Review of Books,2023-03-16,,Single-book review,single book review,writing and reporting,,review,50,flat,50,$50 flat fee,35,1.43,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-03-16,Chicago Review of Books,news
903,The Conversation,2023-09-01,Writer,Investigative Project,investigative project,writing and reporting,,article,11000,,0,,,,6 weeks,Direct Deposit,They reached out to me with an assignment,1st Rights,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,Submitted invoice,Was not hazardous,No,No,Unsure,,"National News, Health &amp; Wellness",usa,Yes,ny,usa,He/His,"Black, White",5-10 years,40,Would recommend to others,Male,2023-09-01,The Conversation,news
904,The Cut,2024-06-03,Writer,800 word online article,800 word online article,writing and reporting,800,article,600,per article,600,600 per article,6,100,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,"National News, Fashion",Netherlands,No,,United States,She/Her,White,5-10 years,,"Loved it, Would recommend to others",Prefer not to say,2024-06-03,The Cut,news
905,The Cut,2023-04-10,Writer,Feature story for website,feature story for website,writing and reporting,,feature,1500,,0,,,,New Job - Still Waiting,,"Pre-existing relationship, Network referral",,Yes,No,,,,,,,,,,,,,USA,,New York,USA,She/Her,"Jewish, White",5-10 years,,Would recommend to others,"Cis, Female",2023-04-10,The Cut,news
906,The Cut (New York Magazine),2019-01-03,Photographer,4 page photoshoot in print and online,4 page photoshoot in print and online,photography,,graphics,2000,per day,500,$500 per day,,,6 weeks,Direct Deposit,They reached out to me with an assignment,Unsure,Verbal or ‘handshake’ agreement,Yes,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,No,No,No,,,,Yes,,,She/Her,,0-5 years,30,"Loved it, Would recommend to others",,2019-01-03,The Cut,news
907,The Cut (New York Magazine),2019-11-01,Writer,3k word profile,3k word profile,writing and reporting,3000,article,1000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-01,The Cut,news
908,The Cut (New York Magazine),2020-10-01,Writer,800 word personal essay,800 word personal essay,writing and reporting,800,essay,300,,0,,,,30 days,Direct Deposit,"They asked me to pitch, Network referral",Work For Hire,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,,USA,No,MA,USA,She/Her,White,5-10 years,32,Would recommend to others,"Cis, Female",2020-10-01,The Cut,news
909,the daily beast,2024-03-01,Writer,"a 1,000 word review for a high profile comedy special",a 1000 word review for a high profile comedy special,writing and reporting,1000,review,300,,0,,15,20,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,usa,Yes,new york,usa,She/Her,White,5-10 years,36,"Hated it, Whatevs",Gender expansive,2024-03-01,The Daily Beast,news
910,The Daily Beast,2022-10-20,"Editor, Writer","1,200 word reported piece",1200 word reported piece,writing and reporting,1200,article,500,,0,,,,2 months,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,"Yes, but the job wasn't killed",125,Did not require overtime,,Did not require expenses,,,Publicly Available,No,No,,Science,,,,,She/Her,White,0-5 years,,,"Cis, Female",2022-10-20,The Daily Beast,news
911,The Dial,2025-02-01,"Cartoonist, Writer","Book review (2k words, web)",book review (2k words web),writing and reporting,2000,review,950,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-01,The Dial,news
912,The Dial,2024-05-01,Writer,2500 word feature story,2500 word feature story,writing and reporting,2500,feature,1400,,0,,200,7,30 days,Direct Deposit,"No pre-existing relationship, Cold pitch - I reached out to them",1st Rights,Yes,Yes,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,Yes,6000,International News,South Africa,No,,United States,She/Her,White,10-15 years,35,Loved it,"Cis, Female",2024-05-01,The Dial,news
913,The Dial,2024-01-04,Writer,Interview-based article,interview based article,writing and reporting,,article,400,,0,,30,13.33,2 weeks or less,Direct Deposit,Pre-existing relationship,Shared Copyright,Yes,No,"Yes, but the job wasn't killed",,,,,,,,,,,,,Yes,,,He/His,White,10-15 years,36,Loved it,"Cis, Male",2024-01-04,The Dial,news
914,The Doe,2021-05-07,Writer,800 word narrative,800 word narrative,writing and reporting,800,article,300,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",100,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Publicly Available,No,No,,Editorial &amp; Opinion,United States,No,California,California,He/His,White,0-5 years,,Loved it,Male,2021-05-07,The Doe,not_news
915,The Doubleclicks,2019-04-23,Illustrator,Full page illustration (postcard),full page illustration (postcard),graphics/design,,graphics,200,,0,,,,2 weeks or less,Paypal,They reached out to me with an assignment,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,,,,,Branded/Sponsored Content,United States,No,Maryland,United States,He/His,White,0-5 years,24,Loved it,"Male, Nonbinary, Trans",2019-04-23,The Doubleclicks,not_news
916,The Drive,2018-12-01,Writer,Daily news blogs (250-word minimum),daily news blogs (250 word minimum),writing and reporting,,article,100,per article,100,$100 per piece,,,2 weeks or less,Paypal,"They asked me to pitch, They reached out to me with an assignment",Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,No,No,,"Sports, Editorial &amp; Opinion, Technology, Science, Travel, Automotive (primary focus, but isn't listed here)",United States,No,Texas,United States,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2018-12-01,The Drive,news
917,The Drive,2018-12-01,Writer,"1,200-word car review/travel story",1200 word car review/travel story,writing and reporting,1200,review,300,per article,300,$300 per piece,,,2 weeks or less,Paypal,They asked me to pitch,Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,No,No,,"Sports, Technology, Travel, Automotive (primary section, although this was partially about traveling to a race track/destination, too)",United States,No,Texas,United States,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2018-12-01,The Drive,news
918,The Food Section,2025-08-11,Reporter,On-ground validation of beverage stores,on ground validation of beverage stores,writing and reporting,,other,60,per assignment,20,$20 per store evaluation,1,60,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,,,,,,,,,,,,No,,,,,,,,,2025-08-11,The Food Section,news
919,The Food Section,2025-06-27,Writer,"600-word, single-sourced column",600 word single sourced column,writing and reporting,600,article,200,,0,,7,28.57,New Job - Still Waiting,Haven't been paid yet,"Pre-existing relationship, They asked me to pitch",Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,Publicly Available,Publicly Available,No,,Cooking,United States,No,North Carolina,United States,He/His,White,5-10 years,34,Loved it,"Cis, Male",2025-06-27,The Food Section,news
920,The Food Section,2025-02-21,Writer,"1,200 words reporting",1200 words reporting,writing and reporting,1200,article,1058.16,,0,,26.5,39.93,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,Publicly Available,Publicly Available,No,,,United States,No,North Carolina,United States,He/His,White,5-10 years,33,Loved it,Male,2025-02-21,The Food Section,news
921,The Frisc,2021-01-20,"Photographer, Writer",1400 words,1400 words,writing and reporting,1400,article,300,,0,,,,3 months,Check by mail,"They asked me to pitch, They reached out to me with an assignment",,Yes,No,Unsure,,,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,"Local News, Politics",US,No,CA,US,She/Her,White,0-5 years,31,"Loved it, Would not recommend to others, Working with my editor is great, but the pay is far too low for how much work is required for the piece",Female,2021-01-20,The Frisc,news
922,The Garrison Project &amp; Black Pittsburgh,2023-08-15,Writer,Local data feature–1800 words,local data feature–1800 words,writing and reporting,1800,feature,3600,per word,2,$2 per word,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Submitted invoice,Was not hazardous,No,No,Unsure,,Local News,usa,Yes,ny,usa,He/His,"Black, White",5-10 years,40,Loved it,Male,2023-08-15,The Garrison Project,news
923,The Garrison Project &amp; CalMatters,2024-06-01,Writer,Investigative feature,investigative feature,writing and reporting,,feature,4468.75,per word,1.25,$1.25/word,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,No,,"No, but the job wasn't killed",,,,,,,,,,,Local News,usa,Yes,NY,usa,He/His,"Black, White",5-10 years,41,Loved it,Male,2024-06-01,The Garrison Project,news
924,The Garrison Project &amp; Rolling Stone,2025-02-01,Writer,Feature,feature,writing and reporting,,feature,2620,per word,1.25,$1.25/word,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"No, but the job wasn't killed",,,,Did not require expenses,,,,,,,"National News, Local News",usa,Yes,ny,usa,He/His,"Black, White",5-10 years,,Loved it,Male,2025-02-01,The Garrison Project,news
925,The Garrison Project and Rolling Stone,2023-02-15,Writer,Investigative Magazine Feature,investigative magazine feature,writing and reporting,,feature,9000,per word,2,$2 per word,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Reimbursed based on estimate,Was not hazardous,No,No,Unsure,,"National News, Local News",usa,Yes,ny,usa,He/His,"Black, White",5-10 years,40,Loved it,Male,2023-02-15,The Garrison Project,news
926,The Globe &amp; Mail,2023-01-02,Writer,600-800 word reported story (I wrote 800). Minimum 3 sources to interview (I did 4).,600 800 word reported story (i wrote 800). minimum 3 sources to interview (i did 4).,writing and reporting,800,article,366,flat,366,Flat rate,15,24.4,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,No,No,"Yes, but the job wasn't killed",183,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,,,Business,Canada,No,,Canada,She/Her,White,5-10 years,29,Loved it,"Female, Genderfluid",2023-01-02,The Globe and Mail,news
927,The Goods (Vox Media),2019-04-01,Writer,"Personal essay for ""The Best Money I Ever Spent"" series, commissioned at 1200 words (I went a bit over)","personal essay for ""the best money i ever spent"" series commissioned at 1200 words (i went a bit over)",writing and reporting,1200,essay,600,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,"Editorial &amp; Opinion, Health &amp; Wellness, Personal essay",United States,Yes,New York,United States,She/Her,White,5-10 years,,"Loved it, Loved the editing experience, but the legal team wouldn't budge on rights and insisted on a work for hire contract. Initial offer for the piece was $500 and I negotiated up.","Cis, Female",2019-04-01,Vox Media,news
928,The Grade,2020-06-15,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,500,per hour,50,$50 per hour,,,2 weeks or less,Direct Deposit,Network referral,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,,,,,,No,No,No,,Education news,USA,No,MN,USA,She/Her,White,5-10 years,28,Would recommend to others,Female,2020-06-15,UNCLEAR,news
929,The Guardian,2025-09-01,Writer,"2,000 word reported feature",2000 word reported feature,writing and reporting,2000,feature,1280,per word,0.64,.64 / word,50,25.6,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,"Technology, Sex &amp; Relationships",US,Yes,New York,New York,She/Her,White,0-5 years,29,Loved it,Female,2025-09-01,The Guardian,news
930,The Guardian,2023-07-01,Writer,Investigative feature,investigative feature,writing and reporting,,feature,7796.25,per word,1.75,$1.75/word,,,3 months,Direct Deposit,"Pre-existing relationship, They asked me to pitch",1st Rights,Yes,No,"Yes, but the job wasn't killed",,,,Required expenses &amp; I was reimbursed,,,,,,,"National News, Local News",usa,Yes,Ny,UK,He/His,"Black, White",5-10 years,41,Would recommend to others,Male,2023-07-01,The Guardian,news
931,The Guardian,2024-10-24,Writer,"1500 words, quick-turnaround reporting",1500 words quick turnaround reporting,writing and reporting,1500,article,1200,,0,,28,42.86,2 weeks or less,Direct Deposit,"No pre-existing relationship, Cold pitch - I reached out to them",Unsure,Yes,No,,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,,No,,,"National News, Politics",USA,No,NY,USA,She/Her,White,0-5 years,25,Would recommend to others,"Cis, Female",2024-10-24,The Guardian,news
932,The Guardian,2024-01-01,Writer,"2,500-word reported feature",2500 word reported feature,writing and reporting,2500,feature,2500,,0,"$2,500 plus travel hotel and gas",,,30 days,Direct Deposit,Cold pitch - I reached out to them,,,,,,,,,,,,,,,,United States,No,CA,,She/Her,East Asian,20-25 years,46,Would recommend to others,Female,2024-01-01,The Guardian,news
